   0   0	 -9.7645092279093415E-01	 -7.3443300721107704E-02	  0.0000000000000000E+00	  1.5866092580120986E-03	  2.5542533960196928E-01	  1.1312282142213943E+00	  2.9843413031834910E+01
   0   1	 -3.5195272699132296E+01	 -1.5923155990969178E+00	 -5.6118591455146272E-01	 -1.4147536988598564E-01	  0.0000000000000000E+00	  1.0252504745640566E-01	  9.0231426264576209E-01
   0   2	 -1.3718733347832106E+00	 -4.9924102632644879E-01	 -4.7781762473677013E-02	  2.3098533352669879E-03	  6.5592581227686853E-02	  3.5315998512134794E-01	  1.2008443441829515E+00
   0   3	 -1.6565047551599406E+00	 -4.6437205365947520E-01	 -1.1291095365194834E-01	  6.7038703320914505E-03	  7.6951712483724885E-02	  3.3196400536909898E-01	  1.6127575477828637E+00
   0   4	 -1.0138109297948266E+00	 -1.2661920076981803E-01	 -2.8644363722876084E-02	  2.1066150971205608E-03	  1.0871461166329545E-01	  4.4729510327971234E-01	  1.3955853914139713E+00
   0   0	  6.9825641934656779E-01	  1.7513122603245646E-01	  0.0000000000000000E+00	  9.8721725816782263E-02	  4.0837681344230686E-01	  6.1689317160228052E-01	  2.2431745577958559E-08
   0   1	  3.5135036301572084E-03	  7.2212100669586121E-01	  4.4383569420732205E-01	  2.0566556342426459E-01	  0.0000000000000000E+00	  2.6956457640347803E-01	  4.9029167297699888E-01
   0   2	  5.1241066079423936E-01	  9.0003495723721982E-01	  1.1617685546142885E-01	  6.3549490845441689E-02	  1.5892743888795824E-01	  3.6621977906753694E-01	  5.5312752199927995E-01
   0   3	  8.8408628704844894E-01	  4.2663279992053177E-01	  1.7680785668276547E-01	  6.7860611645204766E-02	  1.4957733899811629E-01	  3.4770243986820354E-01	  6.1387964949291862E-01
   0   4	  5.0180812371692818E-01	  2.1093824637835684E-01	  1.2884341366602634E-01	  5.7499931402144565E-02	  2.4954030491138351E-01	  7.2892971167414633E-01	  7.0431374648848288E-01


